enlace_producto,enlace_imagen
/queso-parmesano-colun-80-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/413376-180-180?width=180&height=180&aspect=true
/quesomantecoso-quilque-28laminasenvaseresellablealvacio500grs-2/p,https://jumbo.vteximg.com.br/arquivos/ids/1014363-180-180?width=180&height=180&aspect=true
/queso-mantecoso-rio-bueno-500-g-2/p,https://jumbo.vteximg.com.br/arquivos/ids/677789-180-180?width=180&height=180&aspect=true
/queso-ranco-colun-laminado-granel-2-2-2-2-2/p,https://jumbo.vteximg.com.br/arquivos/ids/1011363-180-180?width=180&height=180&aspect=true
/pechuga-de-pavo-cocida-sopraval-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/598569-180-180?width=180&height=180&aspect=true
/jamon-acaramelado-de-pavo-sopraval-granel-2/p,https://jumbo.vteximg.com.br/arquivos/ids/598523-180-180?width=180&height=180&aspect=true
/jamon-pierna-la-preferida-granel/p,https://jumbo.vteximg.com.br/arquivos/ids/169728-180-180?width=180&height=180&aspect=true
/trutro-corto-super-pollo-bandeja-1-l-aprox-2/p,https://jumbo.vteximg.com.br/arquivos/ids/984676-180-180?width=180&height=180&aspect=true
/pan-miga-sandwich-castano-bolsa-460-g-sin-bor/p,https://jumbo.vteximg.com.br/arquivos/ids/879980-180-180?width=180&height=180&aspect=true
/servilletas-de-papel-nova-para-coctel-150-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/969433-180-180?width=180&height=180&aspect=true
/servilletas-cocktail-200-un/p,https://jumbo.vteximg.com.br/arquivos/ids/818053-180-180?width=180&height=180&aspect=true
/papel-higienico-elite-ultra-doble-hoja-18-rollos-50-m-c-u/p,https://jumbo.vteximg.com.br/arquivos/ids/961486-180-180?width=180&height=180&aspect=true
/yoghurt-natural-danone-150-g/p,https://jumbo.vteximg.com.br/arquivos/ids/626702-180-180?width=180&height=180&aspect=true
/mantequilla-con-sal-soprole-250-g/p,https://jumbo.vteximg.com.br/arquivos/ids/792866-180-180?width=180&height=180&aspect=true
/leche-descremada-surlat-caja-1-l-sin-lactosa/p,https://jumbo.vteximg.com.br/arquivos/ids/863769-180-180?width=180&height=180&aspect=true
/zapallo-camote-jumbo-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/416020-180-180?width=180&height=180&aspect=true
/tomate-malla-1-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/453672-180-180?width=180&height=180&aspect=true
/pimiento-verde-jumbo-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/429727-180-180?width=180&height=180&aspect=true
/lechuga-escarola-jumbo-2-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/511270-180-180?width=180&height=180&aspect=true
/lechuga-costina-jumbo-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/672674-180-180?width=180&height=180&aspect=true
/cilantro-120-g/p,https://jumbo.vteximg.com.br/arquivos/ids/412157-180-180?width=180&height=180&aspect=true
/cebollin-jumbo-6-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/226243-180-180?width=180&height=180&aspect=true
/ajo-jumbo-3-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/416168-180-180?width=180&height=180&aspect=true
/lechuga-escarola-unid/p,https://jumbo.vteximg.com.br/arquivos/ids/417442-180-180?width=180&height=180&aspect=true
/naranja-2-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/412148-180-180?width=180&height=180&aspect=true
/spaghetti-n-5-talliani-bolsa-400-g-con-huevos-frescos/p,https://jumbo.vteximg.com.br/arquivos/ids/680309-180-180?width=180&height=180&aspect=true
/espirales-talliani-bolsa-400-g/p,https://jumbo.vteximg.com.br/arquivos/ids/680242-180-180?width=180&height=180&aspect=true
/arroz-grado-1-miraflores-1-kg-grano-largo-y-ancho/p,https://jumbo.vteximg.com.br/arquivos/ids/655914-180-180?width=180&height=180&aspect=true
/arroz-grado-1-banquete-1-kg-premium-grano-largo-y-ancho/p,https://jumbo.vteximg.com.br/arquivos/ids/414154-180-180?width=180&height=180&aspect=true
/bebida-coca-cola-light-15-l-botella-desechable/p,https://jumbo.vteximg.com.br/arquivos/ids/655890-180-180?width=180&height=180&aspect=true
/m-ideal-bco-xl-750/p,https://jumbo.vteximg.com.br/arquivos/ids/997278-180-180?width=180&height=180&aspect=true
/shampoo-dazz-crece-fuerte-370ml-2003311/p,https://jumbo.vteximg.com.br/arquivos/ids/985539-180-180?width=180&height=180&aspect=true
/apio-sp-x8-1975407/p,https://jumbo.vteximg.com.br/arquivos/ids/909960-180-180?width=180&height=180&aspect=true
/bistec-posta-rosada-v-atm-prodj-kg-1995236-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/848605-180-180?width=180&height=180&aspect=true
/cracker-tradicional-3pack-270g-1989470/p,https://jumbo.vteximg.com.br/arquivos/ids/817596-180-180?width=180&height=180&aspect=true
/toalla-de-papel-nova-ultra-70-m-1970652/p,https://jumbo.vteximg.com.br/arquivos/ids/946742-180-180?width=180&height=180&aspect=true
/carne-molida-vacuno-congelado-10-500-g/p,https://jumbo.vteximg.com.br/arquivos/ids/698899-180-180?width=180&height=180&aspect=true
/limpiador-cif-gel-c-cloro-800ml-normal-1960922/p,https://jumbo.vteximg.com.br/arquivos/ids/701112-180-180?width=180&height=180&aspect=true
/galleta-club-social-normal-216-gr-1961732/p,https://jumbo.vteximg.com.br/arquivos/ids/820896-180-180?width=180&height=180&aspect=true
/pan-molde-kingsbury-perfecto-580g-1960915/p,https://jumbo.vteximg.com.br/arquivos/ids/703453-180-180?width=180&height=180&aspect=true
