Codigo Producto,Nombre Producto,Nutriente,Valor por 100g,Valor por porcion
Código: 1813711,Pasta Fusilli Carozzi 400 g,Energía (kCal),313,250.4
Código: 1813711,Pasta Fusilli Carozzi 400 g,Proteínas (g),12.5,10
Código: 1813711,Pasta Fusilli Carozzi 400 g,Grasas Totales (g),3.1,2.5
Código: 1813711,Pasta Fusilli Carozzi 400 g,Grasas Saturadas (g),0.8,0.6
Código: 1813711,Pasta Fusilli Carozzi 400 g,Grasas Monoinsaturadas (g),0.4,0.3
Código: 1813711,Pasta Fusilli Carozzi 400 g,Grasas Poliinsaturadas (g),1.8,1.4
Código: 1813711,Pasta Fusilli Carozzi 400 g,Grasas trans (g),0,0
Código: 1813711,Pasta Fusilli Carozzi 400 g,Colesterol (mg),0,0
Código: 1813711,Pasta Fusilli Carozzi 400 g,Hidratos de Carbono disponibles (g),58.7,47
Código: 1813711,Pasta Fusilli Carozzi 400 g,Azúcares totales (g),3.5,2.8
Código: 1813711,Pasta Fusilli Carozzi 400 g,Fibra (g),10.1,8.1
Código: 1813711,Pasta Fusilli Carozzi 400 g,Sodio (mg),7,5.6
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Energía (kCal),313,250.4
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Proteínas (g),12.5,10
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Grasas Totales (g),3.1,2.5
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Grasas Saturadas (g),0.8,0.6
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Grasas Monoinsaturadas (g),0.4,0.3
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Grasas Poliinsaturadas (g),1.8,1.4
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Grasas trans (g),0,0
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Colesterol (mg),0,0
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Hidratos de Carbono disponibles (g),58.7,47
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Azúcares totales (g),3.5,2.8
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Fibra (g),10.1,8.1
Código: 1813710,Pasta Spaghetti Carozzi Integral 400 g,Sodio (mg),7,5.6
Código: 1623312-PAK,Puré Tomate Passata Pomodoro 400 g 4 un.,Energía (kCal),36,18
Código: 1623312-PAK,Puré Tomate Passata Pomodoro 400 g 4 un.,Proteínas (g),1.6,0.8
Código: 1623312-PAK,Puré Tomate Passata Pomodoro 400 g 4 un.,Grasas Totales (g),0.5,0.3
Código: 1623312-PAK,Puré Tomate Passata Pomodoro 400 g 4 un.,Hidratos de Carbono disponibles (g),5.1,2.6
Código: 1623312-PAK,Puré Tomate Passata Pomodoro 400 g 4 un.,Azúcares totales (g),4.5,2.3
Código: 1623312-PAK,Puré Tomate Passata Pomodoro 400 g 4 un.,Sodio (mg),195,97.5
Código: 1667603,Salsa Oliva Barilla 400 g,Energía (kCal),77,77
Código: 1667603,Salsa Oliva Barilla 400 g,Proteínas (g),1.9,1.9
Código: 1667603,Salsa Oliva Barilla 400 g,Grasas Totales (g),4.5,4.5
Código: 1667603,Salsa Oliva Barilla 400 g,Grasas Saturadas (g),0.5,0.5
Código: 1667603,Salsa Oliva Barilla 400 g,Grasas Monoinsaturadas (g),2.5,2.5
Código: 1667603,Salsa Oliva Barilla 400 g,Grasas Poliinsaturadas (g),0.3,0.3
Código: 1667603,Salsa Oliva Barilla 400 g,Grasas trans (g),0.1,0.1
Código: 1667603,Salsa Oliva Barilla 400 g,Colesterol (mg),0,0
Código: 1667603,Salsa Oliva Barilla 400 g,Hidratos de Carbono disponibles (g),6.2,6.2
Código: 1667603,Salsa Oliva Barilla 400 g,Azúcares totales (g),4.8,4.8
Código: 1667603,Salsa Oliva Barilla 400 g,Sodio (mg),1050,1050
Código: 1666019,Salsa Albahaca American Classic 680 g,Energía (kCal),38,51.7
Código: 1666019,Salsa Albahaca American Classic 680 g,Proteínas (g),1.6,2.2
Código: 1666019,Salsa Albahaca American Classic 680 g,Grasas Totales (g),0,0
Código: 1666019,Salsa Albahaca American Classic 680 g,Hidratos de Carbono disponibles (g),7.5,10.2
Código: 1666019,Salsa Albahaca American Classic 680 g,Azúcares totales (g),5,6.8
Código: 1666019,Salsa Albahaca American Classic 680 g,Sodio (mg),475,646
Código: 1666018,Salsa Ajo American Classic 680 g,Energía (kCal),38,51.7
Código: 1666018,Salsa Ajo American Classic 680 g,Proteínas (g),1.5,2
Código: 1666018,Salsa Ajo American Classic 680 g,Grasas Totales (g),0,0
Código: 1666018,Salsa Ajo American Classic 680 g,Hidratos de Carbono disponibles (g),7.4,10.1
Código: 1666018,Salsa Ajo American Classic 680 g,Azúcares totales (g),4.1,5.6
Código: 1666018,Salsa Ajo American Classic 680 g,Sodio (mg),475,646
Código: 1582057,Pesto Barilla 200 g,Energía (kCal),324,162
Código: 1582057,Pesto Barilla 200 g,Proteínas (g),2.4,1.2
Código: 1582057,Pesto Barilla 200 g,Grasas Totales (g),29,14.5
Código: 1582057,Pesto Barilla 200 g,Grasas Saturadas (g),2.4,1.2
Código: 1582057,Pesto Barilla 200 g,Grasas Monoinsaturadas (g),22.4,11.2
Código: 1582057,Pesto Barilla 200 g,Grasas Poliinsaturadas (g),2.2,1.1
Código: 1582057,Pesto Barilla 200 g,Grasas trans (g),0.2,0.1
Código: 1582057,Pesto Barilla 200 g,Colesterol (mg),2.3,1.2
Código: 1582057,Pesto Barilla 200 g,Hidratos de Carbono disponibles (g),12,6
Código: 1582057,Pesto Barilla 200 g,Azúcares totales (g),9.3,4.7
Código: 1582057,Pesto Barilla 200 g,Sodio (mg),1040,520
Código: 752088,Salsa de Tomate Mutti Para Pizza 400 g,Energía (kCal),36,21.6
Código: 752088,Salsa de Tomate Mutti Para Pizza 400 g,Proteínas (g),1.6,1
Código: 752088,Salsa de Tomate Mutti Para Pizza 400 g,Grasas Totales (g),0.5,0.3
Código: 752088,Salsa de Tomate Mutti Para Pizza 400 g,Hidratos de Carbono disponibles (g),5.4,3.2
Código: 752088,Salsa de Tomate Mutti Para Pizza 400 g,Azúcares totales (g),4.2,2.5
Código: 752088,Salsa de Tomate Mutti Para Pizza 400 g,Sodio (mg),298,178.8
Código: 1604155,Pasta Caracol La Molisana 500 g,Energía (kCal),351,280.8
Código: 1604155,Pasta Caracol La Molisana 500 g,Proteínas (g),14,11.2
Código: 1604155,Pasta Caracol La Molisana 500 g,Grasas Totales (g),1,0.8
Código: 1604155,Pasta Caracol La Molisana 500 g,Hidratos de Carbono disponibles (g),70,56
Código: 1604155,Pasta Caracol La Molisana 500 g,Azúcares totales (g),4,3.2
Código: 1604155,Pasta Caracol La Molisana 500 g,Sodio (mg),8,6.4
Código: 1604152,Pasta Bucatini La Molisana 500 g,Energía (kCal),351,280.8
Código: 1604152,Pasta Bucatini La Molisana 500 g,Proteínas (g),14,11.2
Código: 1604152,Pasta Bucatini La Molisana 500 g,Grasas Totales (g),1,0.8
Código: 1604152,Pasta Bucatini La Molisana 500 g,Hidratos de Carbono disponibles (g),70,56
Código: 1604152,Pasta Bucatini La Molisana 500 g,Azúcares totales (g),4,3.2
Código: 1604152,Pasta Bucatini La Molisana 500 g,Sodio (mg),8,6.4
Código: 1604151,Pasta Fetuccine La Molisana 500 g,Energía (kCal),351,280.8
Código: 1604151,Pasta Fetuccine La Molisana 500 g,Proteínas (g),14,11.2
Código: 1604151,Pasta Fetuccine La Molisana 500 g,Grasas Totales (g),1,0.8
Código: 1604151,Pasta Fetuccine La Molisana 500 g,Hidratos de Carbono disponibles (g),70,56
Código: 1604151,Pasta Fetuccine La Molisana 500 g,Azúcares totales (g),4,3.2
Código: 1604151,Pasta Fetuccine La Molisana 500 g,Sodio (mg),8,6.4
Código: 267271,Salsa de Tomates Cirio Rústica 680 g,Energía (kCal),24,12
Código: 267271,Salsa de Tomates Cirio Rústica 680 g,Proteínas (g),1,0.5
Código: 267271,Salsa de Tomates Cirio Rústica 680 g,Grasas Totales (g),0,0
Código: 267271,Salsa de Tomates Cirio Rústica 680 g,Hidratos de Carbono disponibles (g),5,2.5
Código: 267271,Salsa de Tomates Cirio Rústica 680 g,Azúcares totales (g),4,2
Código: 267271,Salsa de Tomates Cirio Rústica 680 g,Sodio (mg),5,2.5
Código: 1260839,Salsa de Tomate Pomarola Pizza 200 g,Energía (kCal),57,22.8
Código: 1260839,Salsa de Tomate Pomarola Pizza 200 g,Proteínas (g),2.2,0.9
Código: 1260839,Salsa de Tomate Pomarola Pizza 200 g,Grasas Totales (g),0.4,0.2
Código: 1260839,Salsa de Tomate Pomarola Pizza 200 g,Hidratos de Carbono disponibles (g),11.2,4.5
Código: 1260839,Salsa de Tomate Pomarola Pizza 200 g,Azúcares totales (g),8.7,3.5
Código: 1260839,Salsa de Tomate Pomarola Pizza 200 g,Sodio (mg),397,158.8
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Energía (kCal),106,42.4
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Proteínas (g),1.7,0.7
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Grasas Totales (g),7.1,2.8
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Grasas Saturadas (g),3.9,1.6
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Grasas Monoinsaturadas (g),1.4,0.6
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Grasas Poliinsaturadas (g),1.7,0.7
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Grasas trans (g),0.1,0
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Colesterol (mg),4.3,1.7
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Hidratos de Carbono disponibles (g),9,3.6
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Azúcares totales (g),2.4,1
Código: 1561738,Salsa Blanca Carozzi Con Champiñones Lista 200 g,Sodio (mg),399,159.6
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Energía (kCal),417,417
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Proteínas (g),13.4,13.4
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Grasas Totales (g),8.6,8.6
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Grasas Saturadas (g),4.6,4.6
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Grasas Monoinsaturadas (g),1.7,1.7
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Grasas Poliinsaturadas (g),2.1,2.1
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Grasas trans (g),0.1,0.1
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Colesterol (mg),3.9,3.9
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Hidratos de Carbono disponibles (g),71.7,71.7
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Azúcares totales (g),7.7,7.7
Código: 1245061,Ravioli Carozzi Ricotta Espinaca 400 g,Sodio (mg),584,584
Código: 1120087,Salsa de Tomates Lucchetti Italiana Pack 6 un.,Energía (kCal),61,24.4
Código: 1120087,Salsa de Tomates Lucchetti Italiana Pack 6 un.,Proteínas (g),1.2,0.5
Código: 1120087,Salsa de Tomates Lucchetti Italiana Pack 6 un.,Grasas Totales (g),0,0
Código: 1120087,Salsa de Tomates Lucchetti Italiana Pack 6 un.,Hidratos de Carbono disponibles (g),12.6,5
Código: 1120087,Salsa de Tomates Lucchetti Italiana Pack 6 un.,Azúcares totales (g),8.4,3.4
Código: 1120087,Salsa de Tomates Lucchetti Italiana Pack 6 un.,Sodio (mg),350,140
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Energía (kCal),362,289.6
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Proteínas (g),5.5,4.4
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Grasas Totales (g),1.6,1.3
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Grasas trans (g),0,0
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Colesterol (mg),0,0
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Hidratos de Carbono disponibles (g),81.3,65
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Azúcares totales (g),0,0
Código: 1387568,Spaghetti de Arroz Blue Dragon 250 g,Sodio (mg),15,12
Código: 267413,Salsa de Tomates Talliani Premium Oliva 285 g,Energía (kCal),79,31.6
Código: 267413,Salsa de Tomates Talliani Premium Oliva 285 g,Proteínas (g),2,0.8
Código: 267413,Salsa de Tomates Talliani Premium Oliva 285 g,Grasas Totales (g),3.2,1.3
Código: 267413,Salsa de Tomates Talliani Premium Oliva 285 g,Hidratos de Carbono disponibles (g),10.5,4.2
Código: 267413,Salsa de Tomates Talliani Premium Oliva 285 g,Azúcares totales (g),5.9,2.4
Código: 267413,Salsa de Tomates Talliani Premium Oliva 285 g,Sodio (mg),330,132
Código: 1047051,Tomates Mutti Pelados Mediterraneo 260 g drenado,Energía (kCal),22,28.6
Código: 1047051,Tomates Mutti Pelados Mediterraneo 260 g drenado,Proteínas (g),1,1.3
Código: 1047051,Tomates Mutti Pelados Mediterraneo 260 g drenado,Grasas Totales (g),0,0
Código: 1047051,Tomates Mutti Pelados Mediterraneo 260 g drenado,Hidratos de Carbono disponibles (g),3.6,4.7
Código: 1047051,Tomates Mutti Pelados Mediterraneo 260 g drenado,Azúcares totales (g),2.9,3.8
Código: 1047051,Tomates Mutti Pelados Mediterraneo 260 g drenado,Sodio (mg),5,6.5
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Energía (kCal),119,47.6
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Proteínas (g),0.9,0.4
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Grasas Totales (g),9.4,3.8
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Grasas Saturadas (g),3.9,1.6
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Grasas Monoinsaturadas (g),3.3,1.3
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Grasas Poliinsaturadas (g),2.1,0.8
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Grasas trans (g),0.1,0
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Colesterol (mg),5.5,2.2
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Hidratos de Carbono disponibles (g),7.5,3
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Azúcares totales (g),1.5,0.6
Código: 1561739,Salsa Lista Carozzi Bechamel 200 g,Sodio (mg),270,108
Código: 1498587,Ravioli Carne Trattoria 400 g,Energía (kCal),412,412
Código: 1498587,Ravioli Carne Trattoria 400 g,Proteínas (g),15,15
Código: 1498587,Ravioli Carne Trattoria 400 g,Grasas Totales (g),7.8,7.8
Código: 1498587,Ravioli Carne Trattoria 400 g,Grasas Saturadas (g),3.8,3.8
Código: 1498587,Ravioli Carne Trattoria 400 g,Grasas Monoinsaturadas (g),1.9,1.9
Código: 1498587,Ravioli Carne Trattoria 400 g,Grasas Poliinsaturadas (g),2,2
Código: 1498587,Ravioli Carne Trattoria 400 g,Grasas trans (g),0.1,0.1
Código: 1498587,Ravioli Carne Trattoria 400 g,Colesterol (mg),5.7,5.7
Código: 1498587,Ravioli Carne Trattoria 400 g,Hidratos de Carbono disponibles (g),70.3,70.3
Código: 1498587,Ravioli Carne Trattoria 400 g,Azúcares totales (g),5,5
Código: 1498587,Ravioli Carne Trattoria 400 g,Sodio (mg),456,456
Código: 264982,Cabellitos Lucchetti 400 g,Energía (kCal),338,135.2
Código: 264982,Cabellitos Lucchetti 400 g,Proteínas (g),10,4
Código: 264982,Cabellitos Lucchetti 400 g,Grasas Totales (g),3,1.2
Código: 264982,Cabellitos Lucchetti 400 g,Grasas Saturadas (g),0,0
Código: 264982,Cabellitos Lucchetti 400 g,Grasas Monoinsaturadas (g),0.7,0.3
Código: 264982,Cabellitos Lucchetti 400 g,Grasas Poliinsaturadas (g),2.3,0.9
Código: 264982,Cabellitos Lucchetti 400 g,Grasas trans (g),0,0
Código: 264982,Cabellitos Lucchetti 400 g,Colesterol (mg),0,0
Código: 264982,Cabellitos Lucchetti 400 g,Hidratos de Carbono disponibles (g),70,28
Código: 264982,Cabellitos Lucchetti 400 g,Azúcares totales (g),4,1.6
Código: 264982,Cabellitos Lucchetti 400 g,Fibra (g),3.5,1.4
Código: 264982,Cabellitos Lucchetti 400 g,Sodio (mg),5,2
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Energía (kCal),338,270.4
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Proteínas (g),11,8.8
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Grasas Totales (g),2,1.6
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Grasas Saturadas (g),0.5,0.4
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Grasas trans (g),0,0
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Colesterol (mg),0,0
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Hidratos de Carbono disponibles (g),69,55.2
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Azúcares totales (g),4,3.2
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Fibra (g),3.9,3.1
Código: 267557,Pasta Spaghetti N°5 Carozzi 1 kg,Sodio (mg),5,4
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Energía (kCal),338,270.4
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Proteínas (g),11,8.8
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Grasas Totales (g),2,1.6
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Grasas Saturadas (g),0.5,0.4
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Grasas Monoinsaturadas (g),0.3,0.2
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Grasas Poliinsaturadas (g),1.2,1
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Grasas trans (g),0,0
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Colesterol (mg),0,0
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Hidratos de Carbono disponibles (g),69,55.2
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Azúcares totales (g),4,3.2
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Fibra (g),3.9,3.1
Código: 267221,Pasta Rigatoni N°48 Carozzi 400 g,Sodio (mg),5,4
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Energía (kCal),338,84.5
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Proteínas (g),11,2.8
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Grasas Totales (g),2,0.5
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Grasas Saturadas (g),0.5,0.1
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Grasas Monoinsaturadas (g),0.3,0.1
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Grasas Poliinsaturadas (g),1.2,0.3
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Grasas trans (g),0,0
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Colesterol (mg),0,0
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Hidratos de Carbono disponibles (g),69,17.3
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Azúcares totales (g),4,1
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Fibra (g),3.9,1
Código: 264452,Pasta Alfabeto N°64 Carozzi 250 g,Sodio (mg),5,1.3
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Energía (kCal),338,270.4
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Proteínas (g),11,8.8
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Grasas Totales (g),2,1.6
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Grasas Saturadas (g),0.5,0.4
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Grasas trans (g),0,0
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Colesterol (mg),0,0
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Hidratos de Carbono disponibles (g),69,55.2
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Azúcares totales (g),4,3.2
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Fibra (g),3.9,3.1
Código: 265210,Pasta Caracol N°55 Carozzi 400 g,Sodio (mg),5,4
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Energía (kCal),338,270.4
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Proteínas (g),11,8.8
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Grasas Totales (g),2,1.6
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Grasas Saturadas (g),0.5,0.4
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Grasas trans (g),0,0
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Colesterol (mg),0,0
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Hidratos de Carbono disponibles (g),69,55.2
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Azúcares totales (g),4,3.2
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Fibra (g),3.9,3.1
Código: 264984,Pasta Capellini N°25 Carozzi 400 g,Sodio (mg),5,4
Código: 1411310,Spaghetti Barilla N°5 Integral Italiano Caja 500 g,Energía (kCal),347,277.6
Código: 1411310,Spaghetti Barilla N°5 Integral Italiano Caja 500 g,Proteínas (g),13,10.4
Código: 1411310,Spaghetti Barilla N°5 Integral Italiano Caja 500 g,Grasas Totales (g),2.5,2
Código: 1411310,Spaghetti Barilla N°5 Integral Italiano Caja 500 g,Hidratos de Carbono disponibles (g),64,51.2
Código: 1411310,Spaghetti Barilla N°5 Integral Italiano Caja 500 g,Azúcares totales (g),3.5,2.8
Código: 1411310,Spaghetti Barilla N°5 Integral Italiano Caja 500 g,Fibra (g),8,6.4
Código: 1411310,Spaghetti Barilla N°5 Integral Italiano Caja 500 g,Sodio (mg),5.2,4.2
Código: 439177,Lasagna Italiana Barilla Caja 500 g,Energía (kCal),359,287.2
Código: 439177,Lasagna Italiana Barilla Caja 500 g,Proteínas (g),12.5,10
Código: 439177,Lasagna Italiana Barilla Caja 500 g,Grasas Totales (g),2,1.6
Código: 439177,Lasagna Italiana Barilla Caja 500 g,Hidratos de Carbono disponibles (g),71.2,57
Código: 439177,Lasagna Italiana Barilla Caja 500 g,Azúcares totales (g),3.5,2.8
Código: 439177,Lasagna Italiana Barilla Caja 500 g,Sodio (mg),13,10.4
Código: 266808,Bavette N°13 Barilla 500 g,Energía (kCal),359,287.2
Código: 266808,Bavette N°13 Barilla 500 g,Proteínas (g),13,10.4
Código: 266808,Bavette N°13 Barilla 500 g,Grasas Totales (g),2,1.6
Código: 266808,Bavette N°13 Barilla 500 g,Hidratos de Carbono disponibles (g),71,56.8
Código: 266808,Bavette N°13 Barilla 500 g,Azúcares totales (g),3.5,2.8
Código: 266808,Bavette N°13 Barilla 500 g,Sodio (mg),13,10.4
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Energía (kCal),351,280.8
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Proteínas (g),17.7,14.2
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Grasas Totales (g),3.1,2.5
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Grasas Saturadas (g),0,0
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Grasas Monoinsaturadas (g),0.8,0.6
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Grasas Poliinsaturadas (g),2.3,1.8
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Grasas trans (g),0,0
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Hidratos de Carbono disponibles (g),55.2,44.2
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Azúcares totales (g),8,6.4
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Fibra (g),3.8,3
Código: 1996578,Spaguetti N°5 Lucchetti Protein 400 g,Sodio (mg),100,80
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Energía (kCal),364,291.2
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Proteínas (g),21.8,17.4
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Grasas Totales (g),4.2,3.4
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Grasas Saturadas (g),0,0
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Grasas Monoinsaturadas (g),1.3,1
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Grasas Poliinsaturadas (g),1.9,1.5
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Grasas trans (g),0,0
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Colesterol (mg),0,0
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Hidratos de Carbono disponibles (g),55.1,44.1
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Azúcares totales (g),1.3,1
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Fibra (g),10.2,8.2
Código: 1988764,Pasta Penne Lupino La Molisana 400 g,Sodio (mg),40,32
Código: 1987228,Pasta Garbanzo Wakas Alubia & Chia 250 g,Energía (kCal),330,264
Código: 1987228,Pasta Garbanzo Wakas Alubia & Chia 250 g,Proteínas (g),15,12
Código: 1987228,Pasta Garbanzo Wakas Alubia & Chia 250 g,Grasas Totales (g),3.7,3
Código: 1987228,Pasta Garbanzo Wakas Alubia & Chia 250 g,Hidratos de Carbono disponibles (g),55,44
Código: 1987228,Pasta Garbanzo Wakas Alubia & Chia 250 g,Azúcares totales (g),4.4,3.5
Código: 1987228,Pasta Garbanzo Wakas Alubia & Chia 250 g,Fibra (g),11,8.8
Código: 1987228,Pasta Garbanzo Wakas Alubia & Chia 250 g,Sodio (mg),0,0
Código: 1950039,Polpa Fina Cirio 390 g,Energía (kCal),28,18.2
Código: 1950039,Polpa Fina Cirio 390 g,Proteínas (g),1.1,0.7
Código: 1950039,Polpa Fina Cirio 390 g,Grasas Totales (g),0,0
Código: 1950039,Polpa Fina Cirio 390 g,Hidratos de Carbono disponibles (g),4.9,3.2
Código: 1950039,Polpa Fina Cirio 390 g,Azúcares totales (g),3.7,2.4
Código: 1950039,Polpa Fina Cirio 390 g,Sodio (mg),120,78
Código: 1938915,Spaghetti NoGlut Sin Gluten 250 g,Energía (kCal),349,279.2
Código: 1938915,Spaghetti NoGlut Sin Gluten 250 g,Proteínas (g),5.4,4.3
Código: 1938915,Spaghetti NoGlut Sin Gluten 250 g,Grasas Totales (g),1.8,1.4
Código: 1938915,Spaghetti NoGlut Sin Gluten 250 g,Hidratos de Carbono disponibles (g),77.7,62.2
Código: 1938915,Spaghetti NoGlut Sin Gluten 250 g,Azúcares totales (g),0,0
Código: 1938915,Spaghetti NoGlut Sin Gluten 250 g,Sodio (mg),15,12
Código: 1939803,Pasta Pantrucas N°30 Carozzi 250 g,Energía (kCal),319,119.6
Código: 1939803,Pasta Pantrucas N°30 Carozzi 250 g,Proteínas (g),10.7,4
Código: 1939803,Pasta Pantrucas N°30 Carozzi 250 g,Grasas Totales (g),1.5,0.6
