nombre_producto,precio,codigo_producto,marca,ingredientes,tipo_producto,total_sugars_100g,energy_100g,grasas_totales_(g)_valor_por_100g,hidratos_de_carbono_disponibles_(g)_valor_por_100g,proteínas_(g)_valor_por_100g,sodio_(mg)_valor_por_100g,azúcares_totales_(g)_valor_por_porción,energía_(kcal)_valor_por_porción,total_fats_serving,available_carbs_serving,proteins_serving,sodium_serving,valor,unidad,cholesterol_100g,fiber_100g,grasas_saturadas_(g)_valor_por_100g,colesterol_(mg)_valor_por_porción,fiber_serving,sat_fats_serving
Arroz Grado 1 Banquete Premium Grano Largo y Ancho 1 kg,2580,264573,Banquete,Arroz grano largo ancho,legumbres_arroz,6,325,0.8,73,6.2,1.2,0.3,162.5,4,365,31,6,1,kg,,,,,,
Arroz Grado 1 Miraflores Grano Largo y Ancho 1 kg,2890,264577,Miraflores,Arroz grano largo ancho,legumbres_arroz,4,335,1.3,74,6.7,2,0.2,167.5,7,37,34,1,1,kg,,,,,,
Arroz Grado 1 Banquete Premium Grano Largo y Ancho 1 kg,2190,264573,Banquete,Arroz grano largo ancho,legumbres y arroz,6,325,0.8,73,6.2,1.2,0.3,162.5,4,365,31,6,1,kg,,,,,,
Arroz Grado 1 Miraflores Grano Largo y Ancho 1 kg,2168,264577,Miraflores,Arroz grano largo ancho,legumbres y arroz,4,335,1.3,74,6.7,2,0.2,167.5,7,37,34,1,1,kg,,,,,,
Salsa de Tomate Malloa Italiana 200 g 6 un.,3900,395904,Malloa,"Agua, Concentrado de tomate, Almidón de maíz modificado, Azúcar, Sal, Cebolla, Sorbato de potasio, Orégano, ácido cítrico, Ajo",pastas_salsas,59,43,0.1,9.2,1.2,298,1.2,8.6,0,18,2,596,0,0,0.0,3.0,0,0,1.0,0.0
Spaghetti N°5 Talliani Al Huevo 400 g,1350,267564,Talliani,"Sémola de trigos duros seleccionados, Huevo, Niacina, Hierro (sulfato ferroso), Tiamina, Riboflavina, Gluten",pastas_salsas,4,368,3.5,71,13,20,3.2,294.4,28,568,104,16,400,g,33.0,0.0,0,26.4,0.0,0.0
Salsa de Tomate Malloa Italiana 200 g 6 un.,3550,395904,Malloa,"Agua, Concentrado de tomate, Almidón de maíz modificado, Azúcar, Sal, Cebolla, Sorbato de potasio, Orégano, ácido cítrico, Ajo",pastas y salsas,59,43,0.1,9.2,1.2,298,1.2,8.6,0,18,2,596,0,0,0.0,3.0,0,0,1.0,0.0
Spaghetti N°5 Talliani Al Huevo 400 g,1350,267564,Talliani,No disponible,pastas y salsas,4,368,3.5,71,13,20,3.2,294.4,28,568,104,16,400,g,33.0,0.0,0,26.4,0.0,0.0
